portfolio,date,platform,followers,follower_growth,impressions,profile_visits,link_clicks,views,likes,comments,shares,saves,posts_published,posts_goal_weekly
Rumah Ningrat Pejambon,2026-03-04,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-05,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-06,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-07,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-08,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-09,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-10,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-11,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-12,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-13,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-14,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-15,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-16,Instagram,87,0,0,0,0,220,6,0,0,1,1,4
Rumah Ningrat Pejambon,2026-03-17,Instagram,87,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Pejambon,2026-03-18,Instagram,87,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Pejambon,2026-03-19,Instagram,87,0,0,0,0,104,1,0,0,0,1,4
Rumah Ningrat Pejambon,2026-03-20,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-21,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-22,Instagram,87,0,0,0,0,177,1,0,0,1,1,4
Rumah Ningrat Pejambon,2026-03-23,Instagram,87,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Pejambon,2026-03-24,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-25,Instagram,87,0,0,0,0,156,3,0,0,0,1,4
Rumah Ningrat Pejambon,2026-03-26,Instagram,87,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Pejambon,2026-03-27,Instagram,87,0,0,0,0,63,1,0,0,1,1,4
Rumah Ningrat Pejambon,2026-03-28,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-29,Instagram,87,0,0,0,0,47,1,0,0,1,1,4
Rumah Ningrat Pejambon,2026-03-30,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Pejambon,2026-03-31,Instagram,87,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Pejambon,2026-04-01,Instagram,87,0,0,0,0,136,2,0,0,0,1,4
Rumah Ningrat Pejambon,2026-04-02,Instagram,87,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Pejambon,2026-04-03,Instagram,87,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-04,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-05,Instagram,104,0,0,0,0,34,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-06,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-07,Instagram,104,0,0,0,0,41,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-08,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-09,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-10,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-11,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-12,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-13,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-14,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-15,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-16,Instagram,104,0,0,0,0,111,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-17,Instagram,104,0,0,0,0,126,1,0,0,0,1,4
Rumah Ningrat Subang,2026-03-18,Instagram,104,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-19,Instagram,104,0,0,0,0,68,0,0,1,1,1,4
Rumah Ningrat Subang,2026-03-20,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-21,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-22,Instagram,104,0,0,0,0,112,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-23,Instagram,104,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-24,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-25,Instagram,104,0,0,0,0,62,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-26,Instagram,104,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-27,Instagram,104,0,0,0,0,74,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-28,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-29,Instagram,104,0,0,0,0,31,0,0,0,0,1,4
Rumah Ningrat Subang,2026-03-30,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
Rumah Ningrat Subang,2026-03-31,Instagram,104,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-04-01,Instagram,104,0,0,0,0,23,0,0,0,0,1,4
Rumah Ningrat Subang,2026-04-02,Instagram,104,0,0,0,0,0,0,0,0,0,1,4
Rumah Ningrat Subang,2026-04-03,Instagram,104,0,0,0,0,0,0,0,0,0,0,4
